,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.006223374046385288,0.0055687641724944115,0.0005838953074999154,0.0028191630262881517,0.0040039303712546825,0.0028095690067857504,0.0016628587618470192,0.006810379680246115,0.0025082952342927456,0.0031252119224518538,0.0064343539997935295,0.008050378412008286,0.004012599121779203,0.0037322554271668196,0.0056731197983026505,0.002584958914667368,0.002701462246477604,0.005947336554527283,0.0026312617119401693,0.00431654741987586,0.003277013311162591,0.0023292454425245523,0.003925562370568514,0.006463056895881891,0.004380934871733189,0.00477744173258543,0.0033037238754332066,0.0057381270453333855,0.0045599485747516155,0.004003489390015602,0.0008344416273757815,0.003140693297609687,0.003652235958725214,0.004189637955278158,0.003634748747572303,0.001039486494846642,0.0018576097209006548,0.006476053036749363,0.0032157679088413715,0.005462170112878084,0.0038161093834787607,0.0026034528855234385,0.0026322046760469675,0.0017818878404796124,0.004107936285436153,0.0018946831114590168,0.0014277177397161722,0.0029791665729135275,0.0035696423146873713,0.0019967008847743273
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.05493164,0.002409595064818859,0.004289467819035053,0.005164231173694134,0.0020261090248823166,0.0028348853811621666,0.002968000713735819,0.0025672907941043377,0.0008664911147207022,0.0022651569452136755,0.0023407672997564077,0.0014312084531411529,0.0013752803206443787,0.0018384362338110805,0.002837636973708868,0.0005044564604759216,0.0006901688757352531,0.0024845104198902845,0.0018120069289579988,0.002878282219171524,0.0018405308946967125,0.0016363998875021935,0.0006460727308876812,0.0003563108330126852,0.002643365878611803,0.0024977438151836395,0.0022716126404702663,0.00200728140771389,0.003945882432162762,0.004536663182079792,0.0032348325476050377,0.001306908205151558,0.0015159768518060446,0.002528974087908864,0.0018042022129520774,0.002757685026153922,0.0011012881295755506,0.0017722154734656215,0.0015305094420909882,0.005304483696818352,0.002880165819078684,0.002826063660904765,0.0015122666954994202,0.0026200860738754272,0.0018205309752374887,0.0018693378660827875,0.0026714508421719074,0.0011068062158301473,0.0029674950055778027,0.0008488918538205326,0.002431464148685336
15,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.07055664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.107666016,0.0032822624780237675,0.0013255751691758633,0.0010043701622635126,0.005243548657745123,0.0021858736872673035,0.0010356840211898088,0.0013544342946261168,0.00390886515378952,0.0018700486980378628,0.0025617992505431175,0.0028293170034885406,0.0033312225714325905,0.0011034677736461163,0.0017314816359430552,0.0034429014194756746,0.0013924491358920932,0.001856971182860434,0.0015824325382709503,0.0013591008028015494,0.0015265510883182287,0.0011847877176478505,0.0025013235863298178,0.0007922106306068599,0.0010722128208726645,0.001243738690391183,0.00309158256277442,0.004554418846964836,0.001887063030153513,0.002157088601961732,0.0012669875286519527,0.002216791268438101,0.0030313185416162014,0.0014587541809305549,0.0015170916449278593,0.002693904098123312,0.0024436917155981064,0.0007340281154029071,0.003569179680198431,0.0037569489795714617,0.0011536850361153483,0.0007640407420694828,0.0016888367244973779,0.0009299853700213134,0.0017109321197494864,0.0007763812900520861,0.0013032323913648725,0.0022262432612478733,0.0023782828357070684,0.0024677938781678677,0.0017359930789098144
21,0.11816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.12915039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.15258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.16503906,0.0022082007490098476,0.00020594336092472076,0.0016266616294160485,0.002144893864169717,0.0010884206276386976,0.00039621785981580615,0.001783159445039928,0.001381401321850717,0.0005721069173887372,0.0001405424700351432,0.0027417412493377924,0.00218263384886086,0.0009236527257598937,0.0016254950314760208,0.0021309067960828543,0.0015567169757559896,0.0004706592590082437,0.001041254261508584,0.0009248522692359984,0.0012660943903028965,0.0025687424931675196,0.0020361642818897963,0.00209421687759459,0.0012923548929393291,0.0013584349071606994,0.0010447943350300193,0.0008249803213402629,0.00043939321767538786,0.00122549117077142,0.0016940237255766988,0.0009543554042465985,0.0010626607108861208,0.0013277356047183275,0.0018865902675315738,0.0003282140532974154,0.0028627950232475996,0.001821592217311263,0.00092638551723212,0.0011756352614611387,0.0017947674496099353,0.0015189065597951412,0.0005648492951877415,0.0022690051700919867,0.0008293244754895568,0.0016396131832152605,0.002799735404551029,0.0016293803928419948,0.0009248601854778826,0.002634942065924406,0.0012123865308240056
26,0.17797852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.19140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.20532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
