,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.1,,0.000496483058668673,0.0015323590487241745,0.003921074792742729,0.0017887473804876208,0.0073422836139798164,0.001357927219942212,0.003714378224685788,0.00322007667273283,0.0035236941184848547,0.0022299285046756268,0.0048674666322767735,0.003055383451282978,0.005363184027373791,0.001602032221853733,0.004047723952680826,0.00455469312146306,0.0003808783949352801,0.004498029127717018,0.005365602672100067,0.003797732526436448,0.0016426114598289132,0.0008895999053493142,0.00272456556558609,0.006822378374636173,0.0019858796149492264,0.002658159239217639,0.0027865548618137836,0.002874957863241434,0.0020484260749071836,0.0035023693926632404,0.004160002339631319,0.00606155302375555,0.004233349580317736,0.0002507578465156257,0.006168709602206945,0.0033743998501449823,0.0056554172188043594,0.006129866931587458,0.0008146779146045446,0.0021316322963684797,0.003395948326215148,0.006790784187614918,0.00977437011897564,0.0020399477798491716,0.0012747462606057525,0.002985105849802494,0.0019026413792744279,0.0034926487132906914,0.002549105556681752,0.005131056532263756
1,0.2,,0.0015316548524424434,0.006576142739504576,0.0033423437271267176,0.002004474401473999,0.003758063307031989,0.005508585833013058,0.003624378005042672,0.0030695279128849506,0.007575778756290674,0.003285034326836467,0.004302044399082661,0.003577545750886202,0.0007072081789374352,0.00394084258005023,0.0053357407450675964,0.005494854878634214,0.003801940707489848,0.005241720005869865,0.001856943010352552,0.0023060766980051994,0.0013362709432840347,0.005467340350151062,0.003739240113645792,0.0012172985589131713,0.0044091567397117615,0.005063660442829132,0.0020983861759305,0.004244299605488777,0.005651553627103567,0.0036287233233451843,0.0035151175688952208,0.002739204792305827,0.0019406311912462115,0.0020383468363434076,0.003133174730464816,0.007325614336878061,0.0023944901768118143,0.0017999156843870878,0.006089372560381889,0.0015563456108793616,0.002410764107480645,0.004026059992611408,0.0053230030462145805,0.0034031872637569904,0.0024154079146683216,0.0009153137216344476,0.004257243126630783,0.005187214817851782,0.0012233266606926918,0.004090852104127407
2,0.3,,0.0020176644902676344,0.004659503698348999,0.005284964572638273,0.0003726706199813634,0.0027000783011317253,0.0031058359891176224,0.0024441820569336414,0.0055836159735918045,0.0036545954644680023,0.004825600888580084,0.0019201937830075622,0.002849371638149023,0.0016990848816931248,0.005392194725573063,0.002016174141317606,0.00546999042853713,0.0030150730162858963,0.007093778345733881,0.006009900476783514,0.002204990480095148,0.004086288623511791,0.005568035878241062,0.003430403536185622,0.0014293129788711667,0.0025783865712583065,0.0007446741801686585,0.0023620016872882843,0.001368623343296349,0.002425669925287366,0.0008264912758022547,0.001038368558511138,0.0020463145337998867,0.004040974657982588,0.0055632805451750755,0.004176271613687277,0.005716745276004076,0.002160400850698352,0.003660121001303196,0.003770548850297928,0.005851242691278458,0.005738008767366409,0.006668626796454191,0.006989646703004837,0.0038747801445424557,0.0004692489164881408,0.00341207068413496,0.003048089100047946,0.00235097948461771,0.01006687618792057,0.00196970347315073
3,0.4,,0.08163973689079285,0.011642476543784142,0.09062495827674866,0.0848964974284172,0.02633068896830082,0.06362134963274002,0.027830960229039192,0.01582409255206585,0.10561604052782059,0.07857310771942139,0.0604267492890358,0.13827750086784363,0.04060846194624901,0.05448441207408905,0.08443018794059753,0.03635868802666664,0.00975076388567686,0.06640662252902985,0.041499488055706024,0.09162622690200806,0.033983249217271805,0.03438320755958557,0.06055048853158951,0.05939533933997154,0.04805861786007881,0.06792349368333817,0.007432560436427593,0.10712063312530518,0.09227778017520905,0.050777360796928406,0.1358821839094162,0.10683757066726685,0.10204202681779861,0.09896385669708252,0.082792267203331,0.06832155585289001,0.1082378551363945,0.021085593849420547,0.041023291647434235,0.04401954635977745,0.03849715739488602,0.10587744414806366,0.07399560511112213,0.023587645962834358,0.01508829090744257,0.07704684138298035,0.031915102154016495,0.013527346774935722,0.07626604288816452,0.04440505802631378
4,0.5,,0.0913868099451065,0.08806958049535751,0.09859567135572433,0.0676107257604599,0.03227292746305466,0.08290386945009232,0.10117515176534653,0.04932043328881264,0.006335726007819176,0.0262208953499794,0.08454579859972,0.12811526656150818,0.13418476283550262,0.047147005796432495,0.016039682552218437,0.013571365736424923,0.11937589943408966,0.07570505142211914,0.05012869834899902,0.074262335896492,0.027608493342995644,0.04420026019215584,0.0819510892033577,0.029914598912000656,0.04930573329329491,0.03713288903236389,0.011744152754545212,0.05087713897228241,0.0798228457570076,0.08033332228660583,0.07004815340042114,0.10291711241006851,0.05087200924754143,0.09952766448259354,0.06748771667480469,0.11808428168296814,0.09002618491649628,0.08975604921579361,0.015883324667811394,0.10417185723781586,0.0803852379322052,0.03073340468108654,0.023237479850649834,0.061538856476545334,0.07311583310365677,0.029230818152427673,0.1085965484380722,0.054745253175497055,0.056667227298021317,0.08925177156925201
5,0.6,,0.08384408056735992,0.10321961343288422,0.04150756448507309,0.10235146433115005,0.05925515294075012,0.09995000064373016,0.05245741829276085,0.07916198670864105,0.02206752821803093,0.030420919880270958,0.06603273004293442,0.11588583886623383,0.050726596266031265,0.13751374185085297,0.1339324563741684,0.076022669672966,0.16798599064350128,0.10962255299091339,0.03953314572572708,0.03376353904604912,0.009126669727265835,0.06703470647335052,0.1399955004453659,0.06752729415893555,0.08704821765422821,0.04044906795024872,0.08557954430580139,0.12704190611839294,0.11271332949399948,0.053830988705158234,0.09717578440904617,0.06126364693045616,0.048560529947280884,0.10363663733005524,0.01812538504600525,0.07275974750518799,0.08167705684900284,0.055196307599544525,0.17573033273220062,0.07687608152627945,0.12264937162399292,0.1622869074344635,0.14370429515838623,0.06979669630527496,0.09106797724962234,0.12719671428203583,0.09257765114307404,0.05569067969918251,0.09836264699697495,0.0628080666065216
6,0.7,,0.03717922046780586,0.12360829859972,0.03756922855973244,0.10951978713274002,0.03438423201441765,0.040369972586631775,0.029649682343006134,0.13295258581638336,0.16191668808460236,0.09628114104270935,0.13471926748752594,0.147125706076622,0.06643728911876678,0.027580132707953453,0.12798984348773956,0.057787325233221054,0.04619613662362099,0.013889096677303314,0.14764302968978882,0.0767848938703537,0.11106464266777039,0.1178114116191864,0.03441948816180229,0.130684956908226,0.11428065598011017,0.11073307693004608,0.0625934824347496,0.07326158881187439,0.11064203828573227,0.00762844318524003,0.08660085499286652,0.1469462513923645,0.04430043697357178,0.11580442637205124,0.08422397077083588,0.10008000582456589,0.14950169622898102,0.1583854705095291,0.09784413874149323,0.048018548637628555,0.15304115414619446,0.05255003273487091,0.0487351156771183,0.0633092001080513,0.07961559295654297,0.10371499508619308,0.14740294218063354,0.07451684772968292,0.0881538987159729,0.11079888045787811
7,0.8,,0.060365449637174606,0.11578196287155151,0.15769821405410767,0.18183177709579468,0.14415141940116882,0.06134349852800369,0.03790074586868286,0.1791551262140274,0.0371868759393692,0.14084480702877045,0.09317885339260101,0.13353554904460907,0.1997477114200592,0.07568533718585968,0.16930900514125824,0.2000160962343216,0.12899339199066162,0.13669010996818542,0.07488670945167542,0.12960386276245117,0.1276073008775711,0.06313233822584152,0.18334580957889557,0.16177840530872345,0.10898282378911972,0.2570033371448517,0.12160161137580872,0.12901706993579865,0.12150741368532181,0.022533761337399483,0.06635496020317078,0.035340845584869385,0.08152206987142563,0.11588457226753235,0.14319898188114166,0.15366224944591522,0.13277168571949005,0.14339295029640198,0.11018048226833344,0.176603302359581,0.1467888057231903,0.12827615439891815,0.13297106325626373,0.01796485297381878,0.11570941656827927,0.16648636758327484,0.1330227106809616,0.15975604951381683,0.11999666690826416,0.11449018120765686
8,0.9,,0.10223798453807831,0.15449097752571106,0.17053872346878052,0.06201217696070671,0.03580186516046524,0.08573390543460846,0.18805964291095734,0.11682873964309692,0.10288949310779572,0.1154896542429924,0.218413844704628,0.2102428376674652,0.027052931487560272,0.16021662950515747,0.18365728855133057,0.02622499130666256,0.182380810379982,0.03257787600159645,0.1642284393310547,0.011761007830500603,0.21969397366046906,0.23611986637115479,0.20570716261863708,0.2433447539806366,0.15354475378990173,0.1433560997247696,0.22945675253868103,0.19138292968273163,0.12942208349704742,0.1517239511013031,0.17716018855571747,0.07430576533079147,0.163768008351326,0.20697791874408722,0.16249088943004608,0.2309916466474533,0.22918854653835297,0.20054730772972107,0.06925193220376968,0.19350464642047882,0.16029730439186096,0.2371850460767746,0.10669931024312973,0.10744798183441162,0.09668703377246857,0.06145050749182701,0.17954321205615997,0.15948674082756042,0.10038062930107117,0.1256905496120453
9,1.0,,0.22983554005622864,0.06976514309644699,0.24930298328399658,0.270181804895401,0.21024923026561737,0.11717372387647629,0.18360747396945953,0.19396653771400452,0.1510613113641739,0.25743475556373596,0.1926211714744568,0.2033182829618454,0.18384277820587158,0.1988620162010193,0.08375801891088486,0.16143295168876648,0.187416672706604,0.20205791294574738,0.20805370807647705,0.13694049417972565,0.16180726885795593,0.2512502372264862,0.14934362471103668,0.26917052268981934,0.21956747770309448,0.043306704610586166,0.16376149654388428,0.16644631326198578,0.13122975826263428,0.22689753770828247,0.20990508794784546,0.1923186033964157,0.06376738846302032,0.16711649298667908,0.17175990343093872,0.2227638214826584,0.21394802629947662,0.22668787837028503,0.20184201002120972,0.2812890112400055,0.16433416306972504,0.17004328966140747,0.20695866644382477,0.18506531417369843,0.27228978276252747,0.07921893894672394,0.15519461035728455,0.1882326304912567,0.13334931433200836,0.04776475951075554
