,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.1,,0.0037960007321089506,0.003029797226190567,0.006793138105422258,0.0016478528268635273,0.005271660163998604,0.004061094485223293,0.004668708890676498,0.002708125626668334,0.0027475564274936914,0.0037494071293622255,0.004354773089289665,0.002912666415795684,0.0075654080137610435,0.0016886028461158276,0.0043708560988307,0.0035480584483593702,0.0026662021409720182,0.004190977197140455,0.002123202895745635,0.0020552347414195538,0.0031214230693876743,0.0039505488239228725,0.0024515939876437187,0.0007487274706363678,0.004979824181646109,0.002333116251975298,0.0034619930665940046,0.00199290388263762,0.001915318425744772,0.0008050290052779019,0.0023010652512311935,0.0006854103994555771,0.00352001772262156,0.005068415775895119,0.010597008280456066,0.001793279661796987,0.005856615491211414,0.0026161184068769217,0.0004370923852548003,0.002618637401610613,0.002249089302495122,0.0031194216571748257,0.00543583370745182,0.004057252313941717,0.005248153116554022,0.0009882076410576701,0.0032874278258532286,0.004462730139493942,0.0027802891563624144,0.003910365980118513
1,0.2,,0.0019202388357371092,0.003928518388420343,0.00011939500836888328,0.002027867129072547,0.0024271770380437374,0.003307121805846691,0.006580619141459465,0.0074257333762943745,0.0018154544522985816,0.008465254679322243,0.002631303621456027,0.0012621073983609676,0.0033978945575654507,0.003062098054215312,0.0028051966801285744,0.0012684074463322759,0.002146294806152582,0.00013010567636229098,0.0003684732655528933,0.0008201029268093407,0.0032711124513298273,0.002373357070609927,0.001430752221494913,0.004442380741238594,0.005602649878710508,0.0012145234504714608,0.0004577983054332435,0.0014673671685159206,0.0034854968544095755,0.0027931539807468653,0.0026850258000195026,0.0022489840630441904,0.0026857180055230856,0.003050299594178796,0.0029436126351356506,0.006285667885094881,0.0033845517318695784,0.0019282561261206865,0.002781854709610343,0.0026459218934178352,0.010075054131448269,0.00424737436696887,0.0028775325044989586,0.0014774322044104338,0.0031798838172107935,0.003988162614405155,0.003556623123586178,0.0019411288667470217,0.0028706099838018417,0.002685947110876441
2,0.3,,0.002901471219956875,0.004559249151498079,0.0069792927242815495,0.0011144864838570356,0.0010788538493216038,0.003875013906508684,0.0052705793641507626,0.0040452503599226475,0.006119376048445702,0.003821189748123288,0.002784477546811104,0.0033047476317733526,0.002936297096312046,0.007947784848511219,0.0029416694305837154,0.003861753037199378,0.0032627354376018047,0.0015126867219805717,0.002863326109945774,0.0014758824836462736,0.0021108845248818398,0.0041257962584495544,0.0020351277198642492,0.005283735692501068,0.0031351931393146515,0.002631298964843154,0.005701702553778887,0.004795425105839968,0.003963116556406021,0.0038956692442297935,0.003523155814036727,0.005147973075509071,0.008061770349740982,0.0034062538761645555,0.003166145645081997,0.004495125729590654,0.002839733147993684,0.0017176666297018528,0.0019413087284192443,0.003926648758351803,0.0035654830280691385,0.0032936909701675177,0.004849456716328859,0.0033977318089455366,0.003387288423255086,0.00521238474175334,0.0021298553328961134,0.0032382889185100794,0.004967565182596445,0.002582094632089138
3,0.4,,0.05314727872610092,0.05803128331899643,0.0772138312458992,0.03960208594799042,0.09128324687480927,0.08027058094739914,0.08638450503349304,0.05912482365965843,0.04387660697102547,0.04540485143661499,0.07772940397262573,0.013891276903450489,0.061792489141225815,0.036098454147577286,0.0681399554014206,0.05741320177912712,0.06237442046403885,0.03760109096765518,0.13209998607635498,0.04096754267811775,0.0314226858317852,0.12181338667869568,0.0301999319344759,0.030511802062392235,0.11762390285730362,0.07032805681228638,0.0718098059296608,0.037686437368392944,0.09510105848312378,0.029459325596690178,0.06021418422460556,0.030608296394348145,0.0158221572637558,0.038924094289541245,0.015294020995497704,0.03731614351272583,0.03088541328907013,0.039799127727746964,0.03058219887316227,0.06512559205293655,0.07721124589443207,0.05592021346092224,0.04425176605582237,0.09325408935546875,0.11144085973501205,0.04443437606096268,0.05284026265144348,0.058704644441604614,0.12712107598781586,0.06408325582742691
4,0.5,,0.08106287568807602,0.09842672199010849,0.0452972948551178,0.06655137240886688,0.08683888614177704,0.08203224837779999,0.07782725989818573,0.029556754976511,0.10760223865509033,0.06234288588166237,0.05497051402926445,0.03870240971446037,0.10382207483053207,0.08259764313697815,0.05601544305682182,0.01769210211932659,0.018015645444393158,0.05004029721021652,0.0747588574886322,0.08572059124708176,0.06984654068946838,0.08459113538265228,0.09899025410413742,0.07201814651489258,0.0902722105383873,0.10478562116622925,0.02335479110479355,0.09069020301103592,0.0726127102971077,0.06446907669305801,0.12177879363298416,0.07755651324987411,0.07447966188192368,0.0541071854531765,0.04262864589691162,0.10580942034721375,0.08487720787525177,0.015205096453428268,0.10386873781681061,0.11909538507461548,0.056911420077085495,0.11145198345184326,0.09134295582771301,0.057156752794981,0.03946469724178314,0.0977589339017868,0.06746015697717667,0.07404091954231262,0.11146136373281479,0.10616356134414673
5,0.6,,0.08458662778139114,0.12474266439676285,0.04363127425312996,0.07605400681495667,0.06151910871267319,0.04723970219492912,0.11514446884393692,0.03901171684265137,0.061729829758405685,0.06986375153064728,0.08423194289207458,0.1284845918416977,0.13466735184192657,0.12054204195737839,0.04724304378032684,0.12818945944309235,0.09662914276123047,0.15708167850971222,0.17200839519500732,0.038994867354631424,0.1372523158788681,0.10323791950941086,0.10361146181821823,0.0537884384393692,0.11264046281576157,0.10120957344770432,0.058226123452186584,0.04916348308324814,0.1237352192401886,0.12107942253351212,0.1203814446926117,0.046547360718250275,0.08535447716712952,0.1121339276432991,0.06984103471040726,0.039462316781282425,0.14523054659366608,0.014540883712470531,0.05816996470093727,0.08391574025154114,0.031188273802399635,0.10766921937465668,0.03661586716771126,0.05756176635622978,0.10489773750305176,0.1321011483669281,0.0761382207274437,0.10844827443361282,0.11917222291231155,0.1301056295633316
6,0.7,,0.11313784122467041,0.05614229291677475,0.03838232904672623,0.08385174721479416,0.0673254206776619,0.09259447455406189,0.10509144514799118,0.06594467908143997,0.13864518702030182,0.11622009426355362,0.099115751683712,0.12583570182323456,0.055242616683244705,0.03796009346842766,0.17665506899356842,0.0943533256649971,0.19026045501232147,0.05996778979897499,0.10268746316432953,0.11401813477277756,0.06410730630159378,0.09087973088026047,0.0427236333489418,0.10277702659368515,0.10569600760936737,0.05441731587052345,0.1471993327140808,0.03600919246673584,0.03484233468770981,0.14756347239017487,0.14836443960666656,0.08443745225667953,0.11263175308704376,0.11389896273612976,0.16325931251049042,0.026762040331959724,0.1380501538515091,0.136305570602417,0.1065562516450882,0.08600500226020813,0.1439555585384369,0.10155924409627914,0.16075782477855682,0.10319014638662338,0.15372174978256226,0.08578011393547058,0.08053639531135559,0.06109900400042534,0.11003440618515015,0.10201410949230194
7,0.8,,0.06634008884429932,0.06702402234077454,0.1556451916694641,0.14632563292980194,0.09212661534547806,0.09384174644947052,0.1598689705133438,0.1657174676656723,0.20061637461185455,0.06079595535993576,0.2135476917028427,0.19001337885856628,0.06128283590078354,0.1609252542257309,0.12181897461414337,0.06655041873455048,0.10917779803276062,0.21035583317279816,0.07633038610219955,0.133163183927536,0.168099507689476,0.23258277773857117,0.21368643641471863,0.12325550615787506,0.10862018913030624,0.09351953119039536,0.10833508521318436,0.1827099770307541,0.16466869413852692,0.1779048889875412,0.20607589185237885,0.1525052785873413,0.1723366528749466,0.108177550137043,0.14540188014507294,0.06617545336484909,0.023472409695386887,0.18009628355503082,0.24648229777812958,0.1979096233844757,0.07073047757148743,0.1842566877603531,0.1160152330994606,0.06743883341550827,0.1596272885799408,0.19195865094661713,0.13473786413669586,0.11428259313106537,0.1715707778930664,0.1833834946155548
8,0.9,,0.1075875386595726,0.09196209907531738,0.17714455723762512,0.20930203795433044,0.14085903763771057,0.19904695451259613,0.13232283294200897,0.21546892821788788,0.08311792463064194,0.04687643051147461,0.08949284255504608,0.15580493211746216,0.11750204116106033,0.1227128878235817,0.2212914675474167,0.2284211814403534,0.21584470570087433,0.04102037847042084,0.2025528848171234,0.08293414115905762,0.11214779317378998,0.1816582977771759,0.12756286561489105,0.09012871980667114,0.10627532005310059,0.20178118348121643,0.15854528546333313,0.007111991290003061,0.07851334661245346,0.14749862253665924,0.16738076508045197,0.15641428530216217,0.20406903326511383,0.21421805024147034,0.04708348214626312,0.1656225025653839,0.1359775811433792,0.019663965329527855,0.1426866352558136,0.21199077367782593,0.14585967361927032,0.030909020453691483,0.07830193638801575,0.16968941688537598,0.10001940280199051,0.16850586235523224,0.23106323182582855,0.079006627202034,0.16793784499168396,0.07740918546915054
9,1.0,,0.17505508661270142,0.25666433572769165,0.13704554736614227,0.08519992977380753,0.2378026843070984,0.23092719912528992,0.14012481272220612,0.19245773553848267,0.22108307480812073,0.19996602833271027,0.22543975710868835,0.2088761031627655,0.2284393012523651,0.18886324763298035,0.24596497416496277,0.15559126436710358,0.21468260884284973,0.2286452203989029,0.23572486639022827,0.19831806421279907,0.2420351505279541,0.09515842795372009,0.23118840157985687,0.2526749074459076,0.0719957947731018,0.17729555070400238,0.1638086587190628,0.17603057622909546,0.24898339807987213,0.1022702008485794,0.17076674103736877,0.20660032331943512,0.21318712830543518,0.03946390375494957,0.0883496031165123,0.12698686122894287,0.21673214435577393,0.203885018825531,0.23871253430843353,0.24514003098011017,0.19617457687854767,0.27052193880081177,0.10685160756111145,0.21850994229316711,0.27915307879447937,0.1362486332654953,0.217067688703537,0.1515503078699112,0.25177615880966187,0.27677974104881287
