,loss
0,-0.3761337101459503
1,-0.3603768050670624
2,-0.3668496310710907
3,-0.36504316329956055
4,-0.3616403043270111
5,-0.37067875266075134
6,-0.37478381395339966
7,-0.3411477506160736
8,-0.3685429096221924
9,-0.40161243081092834
10,-0.39519834518432617
11,-0.36054688692092896
12,-0.391163170337677
13,-0.39736467599868774
14,-0.3889390528202057
15,-0.40916767716407776
16,-0.3736697733402252
17,-0.37908267974853516
18,-0.35470280051231384
19,-0.3903416097164154
20,-0.4191078245639801
21,-0.3770499527454376
22,-0.3767004907131195
23,-0.4149933457374573
24,-0.3981460630893707
25,-0.3957831561565399
26,-0.36884066462516785
27,-0.38818809390068054
28,-0.3769119083881378
29,-0.3405572474002838
30,-0.4013807773590088
31,-0.41385650634765625
32,-0.413350909948349
33,-0.4020107686519623
34,-0.3724750280380249
35,-0.3974160850048065
36,-0.37073132395744324
37,-0.40986868739128113
38,-0.3816514313220978
39,-0.35299503803253174
40,-0.40498271584510803
41,-0.36478888988494873
42,-0.3267734944820404
43,-0.38882631063461304
44,-0.4032800793647766
45,-0.3659369647502899
46,-0.3854849636554718
47,-0.38447126746177673
48,-0.39996302127838135
49,-0.4208289682865143
50,-0.3512011468410492
51,-0.3880651593208313
52,-0.3950108587741852
53,-0.39524051547050476
54,-0.4151974320411682
55,-0.3960636556148529
56,-0.36957553029060364
57,-0.40201932191848755
58,-0.40592536330223083
59,-0.37750059366226196
60,-0.3897392749786377
61,-0.3693709075450897
62,-0.3399771749973297
63,-0.38953515887260437
64,-0.35663536190986633
65,-0.36881279945373535
66,-0.3579959571361542
67,-0.3936558663845062
68,-0.4050794243812561
69,-0.33004888892173767
70,-0.3732755780220032
71,-0.35828325152397156
72,-0.3752666413784027
73,-0.393816739320755
74,-0.3466155529022217
75,-0.3963683545589447
76,-0.3901062607765198
77,-0.40886354446411133
78,-0.37800371646881104
79,-0.3987073004245758
80,-0.3950321078300476
81,-0.3707345724105835
82,-0.40409502387046814
83,-0.40035149455070496
84,-0.34296664595603943
85,-0.3907889127731323
86,-0.3792915642261505
87,-0.40351811051368713
88,-0.3882363438606262
89,-0.3871919512748718
90,-0.38115331530570984
91,-0.3947259783744812
92,-0.375824898481369
93,-0.4001096189022064
94,-0.4044421315193176
95,-0.36552467942237854
96,-0.3868182301521301
97,-0.36835765838623047
98,-0.39716848731040955
