,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9
0,1.5625,0.3171157240867615,0.29090607166290283,0.02259881980717182,0.3200945258140564,0.37591564655303955,0.3229982554912567,0.35588333010673523,0.3141299784183502,0.2918476462364197,0.3081783950328827
1,1.6416016,0.37338894605636597,0.005065712612122297,0.13345637917518616,0.03651504963636398,0.3629751205444336,0.28734928369522095,0.34872400760650635,0.27175503969192505,0.3416907489299774,0.42206260561943054
2,1.7226562,0.4331265687942505,0.4457564949989319,0.39657002687454224,0.11685650795698166,0.10936727374792099,0.4147588610649109,0.4335668087005615,0.22589030861854553,0.43104681372642517,0.20558318495750427
3,1.8056641,0.3746062219142914,0.38572460412979126,0.38324588537216187,0.4424053132534027,0.401431679725647,0.22322119772434235,0.42528459429740906,0.4184381663799286,0.4497867524623871,0.39852020144462585
4,1.890625,0.4656764268875122,0.421384334564209,0.3275906443595886,0.4222168028354645,0.41471773386001587,0.41302818059921265,0.37393054366111755,0.488383024930954,0.4826344847679138,0.44878506660461426
5,1.9775391,0.5496467351913452,0.5295440554618835,0.4560011923313141,0.5028636455535889,0.4549998939037323,0.3790207803249359,0.4992806017398834,0.48834195733070374,0.38355663418769836,0.5016425251960754
6,2.0664062,0.5291856527328491,0.5473893880844116,0.5332486629486084,0.5051732659339905,0.5434927940368652,0.5385631322860718,0.5509988069534302,0.5175902247428894,0.5193560719490051,0.5692191123962402
7,2.1572266,0.5506784915924072,0.48752716183662415,0.5780666470527649,0.5208784937858582,0.5686615705490112,0.5733125805854797,0.5438521504402161,0.551869809627533,0.5299869775772095,0.5631024837493896
8,2.25,0.6037565469741821,0.5811212658882141,0.614814281463623,0.5898671746253967,0.5888133645057678,0.6163665056228638,0.5246629118919373,0.5846088528633118,0.5974010825157166,0.6241344809532166
9,2.3447266,0.640428364276886,0.6109583377838135,0.638066828250885,0.6140825152397156,0.6126288771629333,0.6211183071136475,0.6056939959526062,0.617939293384552,0.6058445572853088,0.6228384375572205
10,2.4414062,0.6387826800346375,0.653886079788208,0.6455549001693726,0.6685542464256287,0.6318280696868896,0.6413644552230835,0.6638041734695435,0.6704494953155518,0.6492657661437988,0.6400792598724365
11,2.540039,0.6664729714393616,0.6731194257736206,0.6710846424102783,0.6511720418930054,0.6678751707077026,0.6803646683692932,0.6720091700553894,0.6786797046661377,0.6618335247039795,0.6568419933319092
12,2.640625,0.6818329691886902,0.708867609500885,0.6991372108459473,0.6900228261947632,0.6878515481948853,0.6871508359909058,0.6863253116607666,0.6991278529167175,0.699325442314148,0.7076250314712524
13,2.743164,0.6990976929664612,0.7211214900016785,0.7037405967712402,0.7032961249351501,0.7143046855926514,0.7190518975257874,0.7027410268783569,0.6937568187713623,0.7079111933708191,0.7000912427902222
14,2.8476562,0.731782853603363,0.7323788404464722,0.739160418510437,0.7212523818016052,0.735750138759613,0.7223203778266907,0.7289407849311829,0.7314002513885498,0.7334930300712585,0.7382015585899353
15,2.9541016,0.7500291466712952,0.7497166395187378,0.754985511302948,0.7446751594543457,0.7452815771102905,0.7385595440864563,0.7577780485153198,0.7430939078330994,0.7484967708587646,0.7437888979911804
16,3.0625,0.7660902142524719,0.7692043781280518,0.764231264591217,0.7686634659767151,0.7514709830284119,0.7676486372947693,0.7679086923599243,0.7710003852844238,0.7617629170417786,0.7537359595298767
17,3.1728516,,,,,,,,,,
18,3.2851562,,,,,,,,,,
19,3.399414,,,,,,,,,,
