,oversampling_ratio,step_size,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,1.0,,0.044241730123758316,0.04892166703939438,0.04982529953122139,0.05903412029147148,0.051844123750925064,0.03694024682044983,0.04650835692882538,0.04294980689883232,0.030963493511080742,0.04756111651659012,0.05631983280181885,0.04592592641711235,0.039747029542922974,0.05976647883653641,0.04610409960150719,0.04540903493762016,0.04966873303055763,0.0423089899122715,0.014112569391727448,0.02875189110636711,0.04732472077012062,0.049693647772073746,0.044063616544008255,0.046078167855739594,0.04186331108212471,0.04761500284075737,0.04788312688469887,0.05888047069311142,0.048489443957805634,0.04907674714922905,0.03750929236412048,0.04705118015408516,0.043681539595127106,0.049876581877470016,0.04808700829744339,0.04841221123933792,0.04822809621691704,0.030908627435564995,0.03684929385781288,0.05651532858610153,0.04380030930042267,0.04458766058087349,0.0455893874168396,0.04429646208882332,0.04545066878199577,0.0601397380232811,0.04348984360694885,0.05404336750507355,0.05841362476348877,0.045894328504800797
1,1.1,,0.05589635670185089,0.058520544320344925,0.017747418954968452,0.0369940921664238,0.030477773398160934,0.06102466583251953,0.050690844655036926,0.04531260207295418,0.0473608560860157,0.003415315877646208,0.02697913907468319,0.06778695434331894,0.06641566008329391,0.06131574511528015,0.05212904140353203,0.057851579040288925,0.051120150834321976,0.04442138224840164,0.0609823614358902,0.02871282957494259,0.05192672461271286,0.06826823949813843,0.006662084721028805,0.039862994104623795,0.0496949665248394,0.03670701012015343,0.05602589622139931,0.05598009377717972,0.040308259427547455,0.04449959099292755,0.05075950175523758,0.06525667756795883,0.06721606850624084,0.0326571986079216,0.06511838734149933,0.0815308690071106,0.06192062795162201,0.05538701266050339,0.010364963673055172,0.06427716463804245,0.047391124069690704,0.041677799075841904,0.055121779441833496,0.07610945403575897,0.04718530550599098,0.061676256358623505,0.05354500934481621,0.05696211755275726,0.06981854885816574,0.05958159640431404
2,1.2,,0.04710844159126282,0.0691104382276535,0.060620538890361786,0.006302012596279383,0.08545705676078796,0.06883180141448975,0.06034446507692337,0.0953524187207222,0.0726209357380867,0.06555397063493729,0.05839318037033081,0.021590417250990868,0.09794878214597702,0.03942593187093735,0.03621131554245949,0.07174528390169144,0.05599931627511978,0.04941464960575104,0.029686717316508293,0.012157153338193893,0.020909305661916733,0.01373725850135088,0.038222622126340866,0.047638144344091415,0.042175281792879105,0.03150220587849617,0.06504422426223755,0.05440621078014374,0.02574091963469982,0.08748389035463333,0.07802972942590714,0.05394508317112923,0.05061832070350647,0.06686507165431976,0.0559801310300827,0.08711601793766022,0.029897116124629974,0.0640479326248169,0.08142457902431488,0.04238364100456238,0.0476907454431057,0.049699340015649796,0.06886257976293564,0.058043062686920166,0.05865893140435219,0.05543263629078865,0.05824786797165871,0.07234422117471695,0.06762691587209702,0.033944886177778244
3,1.3,,0.04351334273815155,0.05903258174657822,0.031594417989254,0.04825371876358986,0.048852529376745224,0.030245400965213776,0.04470771923661232,0.023006292060017586,0.08957622200250626,0.03721602261066437,0.06470484286546707,0.046586304903030396,0.0557805560529232,0.10878702998161316,0.06600480526685715,0.04787001386284828,0.07681173086166382,0.023547759279608727,0.02252095751464367,0.058645691722631454,0.059361208230257034,0.02170945703983307,0.06321321427822113,0.06088492274284363,0.0408286489546299,0.04194130003452301,0.055746663361787796,0.03538507968187332,0.046443186700344086,0.02375042997300625,0.07948265224695206,0.05673753842711449,0.06695294380187988,0.05011843144893646,0.07462108135223389,0.10019301623106003,0.10046441853046417,0.08918352425098419,0.04939156398177147,0.08177822083234787,0.08847901970148087,0.05553277209401131,0.06310084462165833,0.0490654855966568,0.09645573794841766,0.026157241314649582,0.06718919426202774,0.10250772535800934,0.10762440413236618,0.0917045995593071
4,1.4,,0.07974889874458313,0.05403762683272362,0.040847208350896835,0.07577374577522278,0.0381399467587471,0.08714697510004044,0.04673095792531967,0.0594593808054924,0.026268813759088516,0.04591942951083183,0.06770208477973938,0.09691005200147629,0.0828862190246582,0.044280342757701874,0.09755149483680725,0.09127530455589294,0.049711864441633224,0.10099388659000397,0.04889348894357681,0.09513960778713226,0.038162920624017715,0.13500180840492249,0.08237572014331818,0.028410321101546288,0.07506531476974487,0.1038907840847969,0.06889009475708008,0.01505126804113388,0.0671573132276535,0.05796152353286743,0.10532625764608383,0.08837400376796722,0.10788179188966751,0.013886508531868458,0.0575605072081089,0.12839442491531372,0.05921642482280731,0.06315532326698303,0.02499913051724434,0.0411892868578434,0.04944893717765808,0.06275908648967743,0.03105934150516987,0.021542515605688095,0.0656626746058464,0.05569854751229286,0.07100860029459,0.07587742060422897,0.0228350181132555,0.052908919751644135
5,1.5,,0.030998388305306435,0.09068667143583298,0.033654965460300446,0.031320832669734955,0.05861768126487732,0.10314469784498215,0.06787270307540894,0.06541494280099869,0.12775549292564392,0.05827547237277031,0.08132229000329971,0.0797719657421112,0.07947613298892975,0.012483719736337662,0.040691833943128586,0.059103984385728836,0.04816282540559769,0.08272852003574371,0.05474499240517616,0.002385434228926897,0.04974738508462906,0.06056361645460129,0.15216094255447388,0.054597266018390656,0.08015608042478561,0.1006196141242981,0.09616241604089737,0.07859288156032562,0.08664444833993912,0.09630492329597473,0.0907760038971901,0.08142548054456711,0.13022677600383759,0.04435550794005394,0.09891866892576218,0.08740624040365219,0.06560918688774109,0.10200672596693039,0.03737274929881096,0.08792952448129654,0.09138940274715424,0.10383915901184082,0.07060521095991135,0.0912402793765068,0.037526123225688934,0.019306881353259087,0.11269202828407288,0.10963182151317596,0.08687668293714523,0.048720456659793854
6,1.6,,0.07537400722503662,0.0977729856967926,0.06452419608831406,0.0920790359377861,0.06474503129720688,0.03331030532717705,0.07129088789224625,0.11584120243787766,0.1530054807662964,0.10352074354887009,0.04645414277911186,0.11575733125209808,0.18282094597816467,0.06200897693634033,0.07385953515768051,0.06232023984193802,0.04327775537967682,0.11731630563735962,0.042129624634981155,0.1268465369939804,0.07384958863258362,0.12772299349308014,0.04591730237007141,0.08914575725793839,0.006254895590245724,0.01846536435186863,0.09753342717885971,0.07847490906715393,0.1570580154657364,0.0912516713142395,0.06956782937049866,0.1435648649930954,0.04124470800161362,0.09012005478143692,0.0993189588189125,0.03994984179735184,0.07411158829927444,0.07150086760520935,0.15308167040348053,0.09943569451570511,0.02789248339831829,0.023987550288438797,0.098509781062603,0.08349014073610306,0.01724959723651409,0.10783860832452774,0.07276839017868042,0.08334487676620483,0.11766541004180908,0.07261727750301361
7,1.7,,0.07473300397396088,0.16014903783798218,0.14387714862823486,0.0921531692147255,0.07383814454078674,0.15895119309425354,0.1031111478805542,0.061471302062273026,0.07469414919614792,0.11786291748285294,0.01980445720255375,0.10249257832765579,0.13689731061458588,0.12878993153572083,0.1806357055902481,0.19466851651668549,0.14805303514003754,0.15973292291164398,0.10294189304113388,0.0478660948574543,0.09412998706102371,0.09603597968816757,0.12132002413272858,0.18683816492557526,0.1522069126367569,0.10292127728462219,0.14063295722007751,0.05247775837779045,0.17450791597366333,0.12061415612697601,0.04213298112154007,0.10710114985704422,0.09781299531459808,0.22774286568164825,0.11264421045780182,0.14726531505584717,0.03122813254594803,0.009908671490848064,0.23155620694160461,0.1506250947713852,0.12803149223327637,0.051282890141010284,0.09123320132493973,0.07540851831436157,0.025098904967308044,0.12960731983184814,0.1429375261068344,0.048984378576278687,0.10575936734676361,0.08805178105831146
8,1.8,,0.15311874449253082,0.18601307272911072,0.20120874047279358,0.07126375287771225,0.25625407695770264,0.07121071219444275,0.22097823023796082,0.2613011300563812,0.10051416605710983,0.14653034508228302,0.13282226026058197,0.06286661326885223,0.17105744779109955,0.1312321275472641,0.09507554769515991,0.07111769914627075,0.06471160799264908,0.19139762222766876,0.12485937029123306,0.06062332168221474,0.16971458494663239,0.11696396768093109,0.03879157826304436,0.07344173640012741,0.052815310657024384,0.06754467636346817,0.13936185836791992,0.0892055481672287,0.25598904490470886,0.12682653963565826,0.09976216405630112,0.1635359525680542,0.23469875752925873,0.039056405425071716,0.11091741919517517,0.20094682276248932,0.0655338317155838,0.13468465209007263,0.0796433687210083,0.14360803365707397,0.20690925419330597,0.12196066230535507,0.10495339334011078,0.10767065733671188,0.21987512707710266,0.03459949791431427,0.13540078699588776,0.017698826268315315,0.21428906917572021,0.19988644123077393
9,1.9,,0.15567368268966675,0.12486246973276138,0.27606505155563354,0.2345922589302063,0.09148360043764114,0.17662693560123444,0.21992719173431396,0.2012312114238739,0.1637268215417862,0.07421204447746277,0.09076289087533951,0.07217863947153091,0.16628427803516388,0.22555308043956757,0.3181301951408386,0.23445184528827667,0.02996319904923439,0.14346301555633545,0.28856104612350464,0.14701279997825623,0.20043586194515228,0.22396717965602875,0.08115595579147339,0.18840806186199188,0.26787450909614563,0.25236934423446655,0.17573967576026917,0.17826411128044128,0.06358116120100021,0.2065870761871338,0.03795931115746498,0.12178688496351242,0.20800557732582092,0.25009551644325256,0.23016393184661865,0.1310371309518814,0.24833427369594574,0.10438220947980881,0.1331086903810501,0.24669696390628815,0.03265445679426193,0.15899161994457245,0.08529132604598999,0.16012319922447205,0.2981575131416321,0.06379677355289459,0.24748972058296204,0.2392234206199646,0.05672452226281166,0.23640000820159912
