,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.00024414062,0.0008267526864074171,0.001922534080222249,0.0022043322678655386,0.004565100651234388,0.003408798249438405,0.006953932344913483,0.004111545160412788,0.005492585711181164,0.003797587938606739,0.0015088715590536594,0.003357420675456524,0.0021941710729151964,0.0018751303432509303,0.002326361136510968,0.0009411914506927133,0.0034661737736314535,0.004835797008126974,0.0019546113908290863,0.005519810598343611,0.004259609151631594,0.002802516333758831,0.002375434385612607,0.002548931399360299,0.0019721577409654856,0.00590998400002718,0.0016666752053424716,0.0014990851050242782,0.0002143759047612548,0.004693272523581982,0.004629586357623339,0.006644930690526962,0.001461885287426412,0.0014623969327658415,0.004168694838881493,0.0025139262434095144,0.003359048394486308,0.0033170480746775866,0.005415633320808411,0.00488376384600997,0.004400067497044802,0.0032146202865988016,0.0009942658944055438,0.005830028560012579,0.0028752440121024847,0.005115204025059938,0.007296903524547815,0.005144315771758556,0.004593703430145979,0.0022797021083533764,0.005282804369926453
1,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0021972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.029541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.041259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
